datetime,open,high,low,close,adj_close,volume
1993-01-29,43.96875,43.96875,43.75,43.9375,24.52607536315918,1003200
1993-02-01,43.96875,44.25,43.96875,44.25,24.70052146911621,480500
1993-02-02,44.21875,44.375,44.125,44.34375,24.752849578857422,201300
1993-02-03,44.40625,44.84375,44.375,44.8125,25.014503479003906,529400
1993-02-04,44.96875,45.09375,44.46875,45.0,25.119155883789062,531500
1993-02-05,44.96875,45.0625,44.71875,44.96875,25.101720809936523,492100
1993-02-08,44.96875,45.125,44.90625,44.96875,25.101720809936523,596100
1993-02-09,44.8125,44.8125,44.5625,44.65625,24.927295684814453,122100
1993-02-10,44.65625,44.75,44.53125,44.71875,24.962181091308594,379600
1993-02-11,44.78125,45.125,44.78125,44.9375,25.08428192138672,19500
1993-02-12,44.875,44.875,44.59375,44.59375,24.892398834228516,42500
1993-02-16,44.46875,44.46875,43.40625,43.46875,24.264427185058594,374800
1993-02-17,43.46875,43.53125,43.28125,43.4375,24.246973037719727,210900
1993-02-18,43.9375,43.9375,42.8125,43.40625,24.22952651977539,378100
1993-02-19,43.40625,43.5625,43.34375,43.5625,24.316755294799805,34900
1993-02-22,43.6875,43.78125,43.5625,43.71875,24.40396499633789,513600
1993-02-23,43.84375,43.875,43.46875,43.6875,24.38653564453125,373700
1993-02-24,43.71875,44.25,43.71875,44.25,24.70052146911621,26300
1993-02-25,44.21875,44.375,44.125,44.34375,24.752849578857422,44500
1993-02-26,44.4375,44.4375,44.1875,44.40625,24.78773307800293,66200
1993-03-01,44.5625,44.5625,44.21875,44.28125,24.717966079711914,66500
1993-03-02,44.3125,44.9375,44.25,44.9375,25.08428192138672,182400
1993-03-03,45.0,45.15625,44.9375,45.125,25.188955307006836,280100
1993-03-04,45.1875,45.1875,44.875,44.875,25.04939079284668,89500
1993-03-05,44.9375,45.125,44.71875,44.75,24.9796085357666,40000
1993-03-08,44.84375,45.75,44.84375,45.75,25.537830352783203,50800
1993-03-09,45.65625,45.6875,45.5,45.59375,25.450586318969727,169300
1993-03-10,45.59375,45.6875,45.40625,45.6875,25.50292205810547,194400
1993-03-11,45.71875,45.84375,45.5,45.5625,25.43315887451172,70900
1993-03-12,45.1875,45.21875,44.8125,45.09375,25.1715030670166,643600
1993-03-15,45.0625,45.3125,45.0625,45.3125,25.293601989746094,310800
1993-03-16,45.3125,45.4375,45.3125,45.3125,25.293601989746094,30800
1993-03-17,45.25,45.25,44.96875,45.03125,25.136598587036133,21800
