DATE,NCBEILQ027S,FBCELLQ027S
1945-10-01,103694,48216
1946-01-01,.,.
1946-04-01,.,.
1946-07-01,.,.
1946-10-01,97302,48353
1947-01-01,.,.
1947-04-01,.,.
1947-07-01,.,.
1947-10-01,95116,48741
1948-01-01,.,.
1948-04-01,.,.
1948-07-01,.,.
1948-10-01,94141,48923
1949-01-01,.,.
1949-04-01,.,.
1949-07-01,.,.
1949-10-01,103822,49254
1950-01-01,.,.
1950-04-01,.,.
1950-07-01,.,.
1950-10-01,126681,49672
1951-01-01,.,.
1951-04-01,.,.
1951-07-01,.,.
1951-10-01,147629,50063
1952-01-01,151463,50222
1952-04-01,157607,50363
1952-07-01,156907,50476
1952-10-01,146628,50591
1953-01-01,143052,50705
1953-04-01,133816,50807
1953-07-01,129274,50921
1953-10-01,144082,50992
1954-01-01,156255,51146
1954-04-01,172550,51314
1954-07-01,191985,51552
1954-10-01,194840,51649
1955-01-01,202122,51628
1955-04-01,225533,51869
1955-07-01,240995,52052
1955-10-01,244222,52012
1956-01-01,262345,52241
1956-04-01,252704,52394
1956-07-01,246833,52524
1956-10-01,268373,52620
1957-01-01,254023,52767
1957-04-01,273076,52954
1957-07-01,245392,53190
1957-10-01,245747,53395
1958-01-01,261319,53612
1958-04-01,278565,53829
1958-07-01,310541,54089
1958-10-01,324670,54286
1959-01-01,332012,54528
1959-04-01,346451,54738
1959-07-01,339875,54920
1959-10-01,362157,54974
1960-01-01,339310,54977
1960-04-01,347588,55414
1960-07-01,321285,55330
1960-10-01,365166,55908
1961-01-01,410353,56180
1961-04-01,411555,56081
1961-07-01,423621,56070
1961-10-01,437674,78518
1962-01-01,427931,77641
1962-04-01,326582,59789
1962-07-01,345363,63125
1962-10-01,424314,74795
1963-01-01,447981,79906
1963-04-01,469026,84913
1963-07-01,487677,89501
1963-10-01,465779,87551
1964-01-01,495027,92888
1964-04-01,511094,95826
1964-07-01,528953,98923
1964-10-01,545955,96021
1965-01-01,559834,98249
1965-04-01,539451,93594
1965-07-01,587928,100749
1965-10-01,623812,106063
1966-01-01,606267,103306
1966-04-01,581050,100041
1966-07-01,523227,88360
1966-10-01,547891,108209
1967-01-01,625556,116897
1967-04-01,641312,113318
1967-07-01,678588,125944
1967-10-01,712221,117648
1968-01-01,652734,118342
1968-04-01,731114,147639
1968-07-01,728536,166789
1968-10-01,843150,146483
1969-01-01,803399,136385
1969-04-01,774485,126673
1969-07-01,743955,131889
1969-10-01,705075,128581
1970-01-01,677754,130509
1970-04-01,541573,101132
1970-07-01,633467,115214
1970-10-01,702189,122471
1971-01-01,774490,138321
1971-04-01,778343,133110
1971-07-01,765304,138552
1971-10-01,823753,143477
1972-01-01,871948,153995
1972-04-01,874936,148937
1972-07-01,893435,155678
1972-10-01,1032664,160080
1973-01-01,970552,135000
1973-04-01,903639,117816
1973-07-01,953484,138868
1973-10-01,809377,118935
1974-01-01,784167,116993
1974-04-01,723296,84398
1974-07-01,540407,61894
1974-10-01,557581,65900
1975-01-01,684902,79711
1975-04-01,791599,90807
1975-07-01,701690,72011
1975-10-01,754817,74976
1976-01-01,868179,90498
1976-04-01,887651,90703
1976-07-01,897275,92302
1976-10-01,927300,97475
1977-01-01,856996,91016
1977-04-01,881959,94814
1977-07-01,845194,92543
1977-10-01,819054,93415
1978-01-01,773767,91684
1978-04-01,833089,99893
1978-07-01,895681,109740
1978-10-01,856213,102170
1979-01-01,910760,109103
1979-04-01,920994,118678
1979-07-01,980996,125951
1979-10-01,1014625,117825
1980-01-01,956763,98920
1980-04-01,1076420,123317
1980-07-01,1213806,128490
1980-10-01,1346332,129662
1981-01-01,1350793,137798
