DATE,NCBEILQ027S,FBCELLQ027S
1981-04-01,1315628,147183
1981-07-01,1135956,128370
1981-10-01,1225445,140116
1982-01-01,1090243,133970
1982-04-01,1073469,122169
1982-07-01,1172612,139765
1982-10-01,1386269,158774
1983-01-01,1533575,175658
1983-04-01,1736437,187246
1983-07-01,1709243,180915
1983-10-01,1630197,199615
1984-01-01,1527519,192924
1984-04-01,1455724,173585
1984-07-01,1542913,200848
1984-10-01,1553280,209891
1985-01-01,1671084,234682
1985-04-01,1743624,268531
1985-07-01,1641750,244169
1985-10-01,1916908,309114
1986-01-01,2136797,377221
1986-04-01,2244577,377009
1986-07-01,2031804,350369
1986-10-01,2240835,368965
1987-01-01,2708148,428124
1987-04-01,2783592,415313
1987-07-01,2944431,418931
1987-10-01,2286653,328947
1988-01-01,2419233,353134
1988-04-01,2514872,384723
1988-07-01,2459275,404318
1988-10-01,2558076,388881
1989-01-01,2669423,423037
1989-04-01,2835812,468111
1989-07-01,3056089,508653
1989-10-01,3138600,477010
1990-01-01,3005478,444898
1990-04-01,3134877,453758
1990-07-01,2653601,357095
1990-10-01,2955814,377896
1991-01-01,3396441,456032
1991-04-01,3354319,469921
1991-07-01,3536308,511591
1991-10-01,3998481,570316
1992-01-01,3908353,593016
1992-04-01,3870341,613979
1992-07-01,3966349,637772
1992-10-01,4361179,746524
1993-01-01,4481787,823185
1993-04-01,4502439,829477
1993-07-01,4628385,904893
1993-10-01,4842338,910666
1994-01-01,4630536,878751
1994-04-01,4541826,892626
1994-07-01,4800739,882993
1994-10-01,4796829,893902
1995-01-01,5167983,987881
1995-04-01,5594356,1083764
1995-07-01,6024123,1204125
1995-10-01,6406754,1283957
1996-01-01,6683652,1376805
1996-04-01,6988156,1386951
1996-07-01,7047824,1487816
1996-10-01,7136150.0,1931867.0
1997-01-01,7172828.0,1973550.0
1997-04-01,8281378.0,2288189.0
1997-07-01,8956472.0,2570102.0
1997-10-01,9055845.0,2719852.0
1998-01-01,10355601.0,3028982.0
1998-04-01,10582784.0,3071617.0
1998-07-01,9568672.0,2522351.0
1998-10-01,11482812.0,2912770.0
1999-01-01,11743420.0,2999047.0
1999-04-01,12769204.0,3229268.0
1999-07-01,12317109.0,2775918.0
1999-10-01,15036312.0,2907036.0
2000-01-01,15922815.0,2945145.0
2000-04-01,15221012.0,2855392.0
2000-07-01,14978622.0,3231406.0
2000-10-01,13087586.0,3269288.0
2001-01-01,11502240.0,3006313.0
2001-04-01,12377309.0,3241491.0
2001-07-01,10342205.0,2921232.0
2001-10-01,11677540.0,3157263.0
2002-01-01,11714607.0,3292405.0
2002-04-01,10113628.0,3141723.0
2002-07-01,8408369.0,2701041.0
2002-10-01,8991360.0,2856276.0
2003-01-01,8720675.0,2727642.0
2003-04-01,10022037.0,3190718.0
2003-07-01,10403742.0,3320479.0
2003-10-01,11540719.0,3707420.0
2004-01-01,11858412.0,3985061.0
2004-04-01,12121492.0,3872608.0
2004-07-01,11826934.0,3933475.0
2004-10-01,12946710.0,4289654.0
2005-01-01,12902601.0,4106821.0
2005-04-01,13112723.0,4321474.0
2005-07-01,13566792.0,4399330.0
2005-10-01,13574117.0,4633709.0
2006-01-01,14510242.0,4756791.0
2006-04-01,13908849.0,4785842.0
2006-07-01,14257382.0,5062516.0
2006-10-01,15089636.0,5414714.0
2007-01-01,15691548.0,5400282.0
2007-04-01,16562543.0,5362686.0
2007-07-01,16923511.0,5076743.0
2007-10-01,16333228.0,4618268.0
2008-01-01,15030366.0,4135122.0
2008-04-01,14870208.0,3688137.0
2008-07-01,13238762.0,3709865.0
2008-10-01,10621521.0,2893574.0
2009-01-01,9603014.0,2366818.0
2009-04-01,10887220.0,2904354.0
2009-07-01,12388260.0,3596429.0
2009-10-01,13049303.0,3604424.0
2010-01-01,13583850.0,4001228.0
2010-04-01,12147825.0,3636633.0
2010-07-01,13458340.0,3925820.0
2010-10-01,14830039.0,4346866.0
2011-01-01,15791418.0,4596783.0
2011-04-01,15672829.0,4548224.0
2011-07-01,13473596.0,3727090.0
2011-10-01,14777979.0,4054202.0
2012-01-01,16452936.0,4749776.0
2012-04-01,15963823.0,4549556.0
2012-07-01,16772602.0,4825263.0
2012-10-01,16522480.0,4989183.0
2013-01-01,18558962.0,5535780.0
2013-04-01,18864337.0,5763121.0
2013-07-01,19960482.0,5974611.0
2013-10-01,21515318.0,6457620.0
2014-01-01,22189683.0,6653923.0
2014-04-01,23243541.0,6874853.0
2014-07-01,23091169.0,6892599.0
2014-10-01,23969972.0,7355828.0
2015-01-01,24229479.0,7480319.0
2015-04-01,24032835.0,7534341.0
2015-07-01,22113478.0,7042121.0
2015-10-01,23113601.0,7341301.0
2016-01-01,23506672.0,7170009.0
2016-04-01,23887214.0,7386854.0
2016-07-01,24468122.0,7737058.0
2016-10-01,24652951.0,8368735.0
2017-01-01,26048826.0,8735387.0
2017-04-01,26456799.0,9072990.0
2017-07-01,27229304.0,9484537.0
2017-10-01,28747455.0,10054234.0
2018-01-01,28535012.0,9970481.0
2018-04-01,29525556.0,10096017.0
2018-07-01,31242306.0,10497376.0
2018-10-01,26543606.0,9272131.0
2019-01-01,30448507.0,10155547.0
2019-04-01,31228480.0,10644589.0
2019-07-01,31323741.0,10725196.0
2019-10-01,33680489.0,11485509.0
2020-01-01,27002731.0,8676676.0
2020-04-01,33391061.0,10019295.0
2020-07-01,36930148.0,10548629.0
2020-10-01,42497994.0,12410168.0
2021-01-01,44927528.0,13850755.0
2021-04-01,48220741.0,15249158.0
2021-07-01,48087859.0,15432744.0
2021-10-01,51341215.0,16639641.0
2022-01-01,48745449.0,16185369.0
2022-04-01,40117123.0,14074730.0
2022-07-01,38425162.0,13378655.0
2022-10-01,39851793.0,14546824.0
2023-01-01,43118659.0,14544763.0
