DATE,TCMILBSNNCB,WCMITCMFODNS,SLGTCMDODNS,TCMILBSHNO,FGTCMDODNS
1945-10-01,44.653,5.52,12.635,29.442,254.385
1946-01-01,.,.,.,.,.
1946-04-01,.,.,.,.,.
1946-07-01,.,.,.,.,.
1946-10-01,49.889,7.823,12.683,36.067,231.306
1947-01-01,.,.,.,.,.
1947-04-01,.,.,.,.,.
1947-07-01,.,.,.,.,.
1947-10-01,56.78,11.904,14.313,44.913,224.898
1948-01-01,.,.,.,.,.
1948-04-01,.,.,.,.,.
1948-07-01,.,.,.,.,.
1948-10-01,62.811,13.116,15.717,53.423,220.012
1949-01-01,.,.,.,.,.
1949-04-01,.,.,.,.,.
1949-07-01,.,.,.,.,.
1949-10-01,64.394,13.469,16.618,61.273,223.629
1950-01-01,.,.,.,.,.
1950-04-01,.,.,.,.,.
1950-07-01,.,.,.,.,.
1950-10-01,70.439,13.614,21.21,74.845,223.234
1951-01-01,.,.,.,.,.
1951-04-01,.,.,.,.,.
1951-07-01,.,.,.,.,.
1951-10-01,78.868,14.213,23.586,83.447,223.506
1952-01-01,79.768,14.445,25.787,84.061,222.201
1952-04-01,80.77,14.656,28.324,88.204,222.032
1952-07-01,82.528,14.722,29.675,91.189,225.653
1952-10-01,85.098,14.765,30.795,95.595,229.829
1953-01-01,86.504,14.93,32.134,97.869,226.911
1953-04-01,87.354,15.156,33.218,102.319,226.926
1953-07-01,88.338,15.597,34.637,104.806,233.608
1953-10-01,89.252,15.887,35.786,108.158,237.379
1954-01-01,90.165,16.028,37.186,107.988,233.493
1954-04-01,90.151,15.881,38.343,111.763,232.735
1954-07-01,91.166,15.788,39.829,115.171,234.566
1954-10-01,92.843,15.986,41.102,120.453,240.195
1955-01-01,93.72,15.876,42.602,123.626,236.08
1955-04-01,95.386,15.93,43.705,130.685,234.433
1955-07-01,96.873,15.935,45.109,135.989,236.252
1955-10-01,101.216,15.97,46.148,141.563,240.077
1956-01-01,103.603,16.134,47.39,143.247,235.799
1956-04-01,105.982,16.376,48.313,148.421,230.35
1956-07-01,107.756,16.462,49.533,151.718,231.549
1956-10-01,110.961,16.696,50.381,156.401,235.039
1957-01-01,113.545,17.019,51.501,157.484,233.391
1957-04-01,116.337,17.184,52.414,162.474,227.347
1957-07-01,117.824,17.32,53.836,165.542,231.343
1957-10-01,120.632,17.978,55.039,168.575,233.24
1958-01-01,122.358,18.416,56.55,167.641,232.414
1958-04-01,123.271,18.863,57.73,171.149,234.972
1958-07-01,124.277,19.291,59.33,174.659,235.84
1958-10-01,127.965,19.848,60.669,180.371,243.374
1959-01-01,128.85,19.962,62.272,182.567,243.058
1959-04-01,131.925,20.314,63.593,189.505,243.702
1959-07-01,132.897,20.625,65.575,195.611,247.998
1959-10-01,136.645,20.684,66.696,202.315,251.18
1960-01-01,138.74,21.062,68.321,203.148,247.528
1960-04-01,141.401,21.481,69.524,209.907,245.933
1960-07-01,141.921,21.822,71.174,214.461,247.439
1960-10-01,145.592,22.42,72.211,219.861,250.072
1961-01-01,145.527,23.016,73.71,220.584,248.141
1961-04-01,147.691,22.961,74.653,226.654,249.032
1961-07-01,148.366,23.633,76.459,230.869,254.269
1961-10-01,152.987,24.413,77.815,237.901,258.176
1962-01-01,153.763,25.165,79.588,239.141,258.932
1962-04-01,157.22,25.63,80.915,246.172,259.637
1962-07-01,158.722,25.578,82.316,252.328,260.143
1962-10-01,163.466,26.268,83.77,259.752,266.044
1963-01-01,164.731,27.099,85.007,262.568,266.77
1963-04-01,167.54,28.379,86.776,271.958,267.323
1963-07-01,168.693,28.658,88.053,279.337,267.111
1963-10-01,174.184,29.353,89.243,288.211,271.008
1964-01-01,175.70,29.922,90.376,292.001,271.258
1964-04-01,179.699,30.743,92.222,301.505,270.807
1964-07-01,181.90,31.302,94.132,308.222,273.696
1964-10-01,187.925,32.937,95.624,317.13,278.309
1965-01-01,192.273,34.12,97.184,320.497,278.254
1965-04-01,197.852,34.52,99.513,329.929,275.83
1965-07-01,201.135,34.654,101.624,336.667,275.013
1965-10-01,208.193,35.305,103.174,345.863,281.252
1966-01-01,213.609,36.007,104.665,348.849,281.804
1966-04-01,222.314,36.579,107.051,358.365,278.555
1966-07-01,226.596,36.542,108.731,362.093,279.93
1966-10-01,232.924,37.277,110.037,368.393,286.101
1967-01-01,238.652,38.647,111.288,368.006,288.574
1967-04-01,246.017,39.573,113.659,375.10,281.611
1967-07-01,249.541,40.473,115.889,380.913,290.008
1967-10-01,255.245,41.452,117.372,402.322,300.362
1968-01-01,262.494,42.388,118.914,393.697,306.084
1968-04-01,270.201,42.692,121.158,406.261,303.668
1968-07-01,275.653,43.273,123.197,413.578,311.406
1968-10-01,286.074,44.127,126.125,426.692,314.219
1969-01-01,293.156,44.89,129.933,425.24,314.381
1969-04-01,303.729,45.833,133.548,436.394,302.979
1969-07-01,309.856,46.424,136.325,441.993,307.801
1969-10-01,318.879,47.121,138.257,453.272,312.583
1970-01-01,338.219,47.736,140.356,445.469,314.538
1970-04-01,350.546,48.284,143.57,451.801,310.108
