,DATE,NCBEILQ027S,FBCELLQ027S,TCMILBSNNCB,WCMITCMFODNS,SLGTCMDODNS,TCMILBSHNO,FGTCMDODNS,bond_sum,equity_sum,equity_allocation
50,1962-10-01,424314.0,74795.0,163.466,26.268,83.77,259.752,266.044,799.3000000000001,499.109,0.3844004470086082
51,1963-01-01,447981.0,79906.0,164.731,27.099,85.007,262.568,266.77,806.175,527.887,0.3956990004962288
52,1963-04-01,469026.0,84913.0,167.54,28.379,86.776,271.958,267.323,821.976,553.939,0.40259681739060915
53,1963-07-01,487677.0,89501.0,168.693,28.658,88.053,279.337,267.111,831.852,577.178,0.4096279000447116
54,1963-10-01,465779.0,87551.0,174.184,29.353,89.243,288.211,271.008,851.999,553.33,0.3937369825855725
55,1964-01-01,495027.0,92888.0,175.7,29.922,90.376,292.001,271.258,859.2570000000001,587.915,0.4062509501289411
56,1964-04-01,511094.0,95826.0,179.699,30.743,92.222,301.505,270.807,874.976,606.92,0.4095564061175683
57,1964-07-01,528953.0,98923.0,181.9,31.302,94.132,308.222,273.696,889.2520000000001,627.876,0.41385829013768116
58,1964-10-01,545955.0,96021.0,187.925,32.937,95.624,317.13,278.309,911.925,641.976,0.41313828873267994
59,1965-01-01,559834.0,98249.0,192.273,34.12,97.184,320.497,278.254,922.3280000000001,658.083,0.4163999111623495
60,1965-04-01,539451.0,93594.0,197.852,34.52,99.513,329.929,275.83,937.644,633.045,0.4030365018154453
61,1965-07-01,587928.0,100749.0,201.135,34.654,101.624,336.667,275.013,949.0929999999998,688.677,0.42049677305116107
62,1965-10-01,623812.0,106063.0,208.193,35.305,103.174,345.863,281.252,973.787,729.875,0.4284153781677351
63,1966-01-01,606267.0,103306.0,213.609,36.007,104.665,348.849,281.804,984.934,709.573,0.418748934055746
64,1966-04-01,581050.0,100041.0,222.314,36.579,107.051,358.365,278.555,1002.864,681.091,0.4044591452859489
65,1966-07-01,523227.0,88360.0,226.596,36.542,108.731,362.093,279.93,1013.892,611.587,0.3762503237507221
66,1966-10-01,547891.0,108209.0,232.924,37.277,110.037,368.393,286.101,1034.732,656.1,0.3880338200365264
67,1967-01-01,625556.0,116897.0,238.652,38.647,111.288,368.006,288.574,1045.167,742.453,0.4153304393551202
68,1967-04-01,641312.0,113318.0,246.017,39.573,113.659,375.1,281.611,1055.96,754.63,0.4167867932552372
69,1967-07-01,678588.0,125944.0,249.541,40.473,115.889,380.913,290.008,1076.824,804.532,0.42763411071588786
70,1967-10-01,712221.0,117648.0,255.245,41.452,117.372,402.322,300.362,1116.7530000000002,829.869,0.4263123503176271
71,1968-01-01,652734.0,118342.0,262.494,42.388,118.914,393.697,306.084,1123.577,771.076,0.4069747864120765
72,1968-04-01,731114.0,147639.0,270.201,42.692,121.158,406.261,303.668,1143.98,878.753,0.4344384552978569
73,1968-07-01,728536.0,166789.0,275.653,43.273,123.197,413.578,311.406,1167.107,895.325,0.4341112822143955
74,1968-10-01,843150.0,146483.0,286.074,44.127,126.125,426.692,314.219,1197.237,989.633,0.4525339869310933
75,1969-01-01,803399.0,136385.0,293.156,44.89,129.933,425.24,314.381,1207.6,939.784,0.4376413347589439
76,1969-04-01,774485.0,126673.0,303.729,45.833,133.548,436.394,302.979,1222.483,901.158,0.42434573451915836
77,1969-07-01,743955.0,131889.0,309.856,46.424,136.325,441.993,307.801,1242.399,875.844,0.41347664078200663
78,1969-10-01,705075.0,128581.0,318.879,47.121,138.257,453.272,312.583,1270.112,833.656,0.3962680295545896
79,1970-01-01,677754.0,130509.0,338.219,47.736,140.356,445.469,314.538,1286.318,808.263,0.38588290450452856
80,1970-04-01,541573.0,101132.0,350.546,48.284,143.57,451.801,310.108,1304.309,642.705,0.3300977804987535
81,1970-07-01,633467.0,115214.0,356.114,48.635,146.348,458.431,317.592,1327.12,748.681,0.36067089282643183
82,1970-10-01,702189.0,122471.0,363.384,49.993,150.317,467.163,327.027,1357.884,824.66,0.37784347073873426
83,1971-01-01,774490.0,138321.0,369.808,51.197,154.655,469.639,329.092,1374.391,912.811,0.39909505150834945
84,1971-04-01,778343.0,133110.0,379.216,52.261,158.807,483.064,332.62,1405.9679999999998,911.453,0.39330488504246747
85,1971-07-01,765304.0,138552.0,385.805,53.205,162.965,495.415,341.74,1439.13,903.856,0.38577097771817676
86,1971-10-01,823753.0,143477.0,392.236,54.179,166.747,511.31,354.745,1479.217,967.23,0.39536110939660657
87,1972-01-01,871948.0,153995.0,401.32,55.489,171.129,518.277,358.706,1504.9210000000003,1025.943,0.40537263163883946
88,1972-04-01,874936.0,148937.0,411.591,55.721,174.21,537.901,354.8,1534.223,1023.873,0.4002480751308786
89,1972-07-01,893435.0,155678.0,417.754,56.041,177.747,553.025,359.989,1564.556,1049.113,0.40139474432301875
90,1972-10-01,1032664.0,160080.0,431.815,57.569,180.71,571.267,372.75,1614.111,1192.744,0.42493965666199357
91,1973-01-01,970552.0,135000.0,444.395,58.785,184.043,583.239,380.75,1651.212,1105.552,0.4010325149341764
92,1973-04-01,903639.0,117816.0,461.7,60.489,186.85,601.75,376.407,1687.196,1021.455,0.3771083834720679
93,1973-07-01,953484.0,138868.0,478.311,60.371,190.725,620.571,374.976,1724.9540000000002,1092.352,0.387729270444886
94,1973-10-01,809377.0,118935.0,497.437,62.24,194.779,636.677,381.829,1772.962,928.312,0.34365710401832616
95,1974-01-01,784167.0,116993.0,510.112,62.614,198.757,640.514,384.779,1796.7759999999998,901.16,0.3340183013978093
96,1974-04-01,723296.0,84398.0,529.498,67.002,202.564,660.692,382.611,1842.3669999999997,807.694,0.30478317291564233
97,1974-07-01,540407.0,61894.0,538.898,69.762,206.553,678.739,386.064,1880.0160000000003,602.301,0.24263661732163938
98,1974-10-01,557581.0,65900.0,553.066,73.051,208.213,691.472,396.457,1922.259,623.481,0.2449114992104457
99,1975-01-01,684902.0,79711.0,556.872,76.588,209.744,690.577,415.886,1949.667,764.613,0.2817001193686724
100,1975-04-01,791599.0,90807.0,562.793,78.705,212.67,704.331,437.743,1996.242,882.406,0.30653487331552864
101,1975-07-01,701690.0,72011.0,564.877,80.901,214.487,724.07,460.139,2044.4740000000002,773.701,0.27453972872515015
102,1975-10-01,754817.0,74976.0,572.665,86.086,219.359,747.477,485.926,2111.513,829.793,0.28211719555870757
103,1976-01-01,868179.0,90498.0,576.041,89.531,224.015,756.712,509.489,2155.788,958.677,0.3078143437155338
104,1976-04-01,887651.0,90703.0,589.478,92.785,231.469,783.379,525.084,2222.1949999999997,978.354,0.3056831812292204
105,1976-07-01,897275.0,92302.0,597.899,96.305,235.612,808.3,541.821,2279.937,989.577,0.30266791945224886
106,1976-10-01,927300.0,97475.0,614.346,102.217,237.83,836.261,559.712,2350.366,1024.775,0.30362435228631934
107,1977-01-01,856996.0,91016.0,630.583,103.917,239.122,852.727,576.214,2402.563,948.012,0.28294009237220474
108,1977-04-01,881959.0,94814.0,649.968,106.534,246.59,891.184,576.622,2470.8979999999997,976.773,0.28331386608525005
109,1977-07-01,845194.0,92543.0,663.882,110.461,252.133,929.088,602.205,2557.769,937.737,0.2682693149432443
110,1977-10-01,819054.0,93415.0,690.322,112.42,256.165,966.509,622.606,2648.022,912.469,0.2562761708989013
111,1978-01-01,773767.0,91684.0,709.545,116.759,264.139,988.956,641.819,2721.218,865.451,0.24129659023456027
112,1978-04-01,833089.0,99893.0,733.612,119.918,274.834,1038.797,645.778,2812.9390000000003,932.982,0.24906611751822846
113,1978-07-01,895681.0,109740.0,745.062,122.257,284.847,1085.944,666.778,2904.888,1005.421,0.25712060095506517
114,1978-10-01,856213.0,102170.0,766.056,132.21,295.601,1128.024,682.118,3004.009,958.383,0.2418698099531798
115,1979-01-01,910760.0,109103.0,789.221,134.796,301.844,1155.013,690.445,3071.319,1019.863,0.24928321448422489
116,1979-04-01,920994.0,118678.0,815.2,138.501,309.535,1202.081,687.429,3152.746,1039.672,0.24798863090464743
117,1979-07-01,980996.0,125951.0,834.716,149.309,317.129,1252.102,707.368,3260.6240000000003,1106.947,0.25344682433325066
118,1979-10-01,1014625.0,117825.0,851.772,155.569,322.216,1296.909,725.909,3352.3750000000005,1132.45,0.2525070654930794
119,1980-01-01,956763.0,98920.0,875.36,158.732,326.092,1325.355,741.331,3426.8700000000003,1055.683,0.23550931801587177
120,1980-04-01,1076420.0,123317.0,880.924,165.01,332.508,1343.148,748.918,3470.5080000000003,1199.737,0.2568895207853121
121,1980-07-01,1213806.0,128490.0,892.508,169.701,339.435,1378.505,786.215,3566.3640000000005,1342.296,0.2734546699099143
122,1980-10-01,1346332.0,129662.0,919.612,175.821,344.434,1420.202,812.184,3672.2529999999997,1475.994,0.28669836548246425
123,1981-01-01,1350793.0,137798.0,936.893,182.406,349.48,1428.866,843.545,3741.19,1488.591,0.2846373490591671
124,1981-04-01,1315628.0,147183.0,977.133,189.709,355.332,1465.475,842.407,3830.056,1462.811,0.27637403320355486
125,1981-07-01,1135956.0,128370.0,1014.01,193.788,364.627,1495.81,871.686,3939.921,1264.326,0.24294119783323123
126,1981-10-01,1225445.0,140116.0,1038.68,222.513,372.054,1526.567,907.658,4067.4719999999998,1365.561,0.25134413871588857
127,1982-01-01,1090243.0,133970.0,1069.68,232.817,380.108,1530.208,937.167,4149.9800000000005,1224.213,0.2277947591387209
128,1982-04-01,1073469.0,122169.0,1099.614,245.318,392.635,1554.07,948.245,4239.882,1195.638,0.21996754680324973
129,1982-07-01,1172612.0,139765.0,1120.252,253.797,403.231,1563.669,1017.754,4358.703,1312.377,0.23141570917708795
130,1982-10-01,1386269.0,158774.0,1129.934,267.243,413.774,1597.908,1081.029,4489.888,1545.043,0.2560166802238501
131,1983-01-01,1533575.0,175658.0,1160.659,272.231,421.714,1590.371,1133.939,4578.914000000001,1709.233,0.2718182319847166
132,1983-04-01,1736437.0,187246.0,1184.512,278.761,438.394,1640.797,1183.081,4725.545,1923.683,0.2893092250709406
133,1983-07-01,1709243.0,180915.0,1208.211,290.774,449.996,1697.873,1242.549,4889.403,1890.158,0.27880241803267203
134,1983-10-01,1630197.0,199615.0,1247.243,265.006,461.109,1759.608,1280.78,5013.745999999999,1829.812,0.26737729116930115
135,1984-01-01,1527519.0,192924.0,1291.913,275.406,471.54,1791.459,1327.638,5157.956,1720.443,0.25012259393501307
136,1984-04-01,1455724.0,173585.0,1351.459,291.413,488.008,1855.999,1362.175,5349.054,1629.309,0.23348011560877527
137,1984-07-01,1542913.0,200848.0,1390.242,290.434,504.998,1911.347,1428.915,5525.936,1743.761,0.23986708111768618
138,1984-10-01,1553280.0,209891.0,1457.968,287.264,513.634,1977.678,1496.457,5733.001,1763.171,0.23520951760445197
139,1985-01-01,1671084.0,234682.0,1486.296,286.901,537.245,2051.338,1547.569,5909.349,1905.766,0.24385642437763233
140,1985-04-01,1743624.0,268531.0,1527.269,287.674,563.616,2125.961,1597.393,6101.9130000000005,2012.155,0.24798350223340498
141,1985-07-01,1641750.0,244169.0,1558.453,286.954,589.238,2216.808,1658.103,6309.556,1885.919,0.2301171073061659
142,1985-10-01,1916908.0,309114.0,1638.943,290.064,677.931,2329.784,1762.014,6698.736,2226.022,0.24942099270366772
143,1986-01-01,2136797.0,377221.0,1682.974,298.24,680.083,2353.403,1797.119,6811.8189999999995,2514.018,0.2695755887648476
144,1986-04-01,2244577.0,377009.0,1741.673,297.704,711.122,2418.96,1853.876,7023.335,2621.586,0.27181000238363795
145,1986-07-01,2031804.0,350369.0,1787.703,303.287,727.112,2505.5,1922.804,7246.406,2382.173,0.24740649684652324
146,1986-10-01,2240835.0,368965.0,1864.487,300.178,752.13,2592.292,2007.547,7516.634,2609.8,0.2577215236874106
147,1987-01-01,2708148.0,428124.0,1909.473,302.539,780.422,2594.993,2032.516,7619.942999999999,3136.272,0.2915776599854131
148,1987-04-01,2783592.0,415313.0,1956.392,298.097,795.998,2687.323,2070.171,7807.981,3198.905,0.2906276125690772
149,1987-07-01,2944431.0,418931.0,1994.716,298.702,820.948,2764.686,2105.975,7985.027,3363.362,0.29637352050586213
150,1987-10-01,2286653.0,328947.0,2051.545,310.447,842.576,2817.489,2181.714,8203.771,2615.6,0.24175157687078108
151,1988-01-01,2419233.0,353134.0,2105.69,311.34,851.013,2861.897,2218.918,8348.858,2772.367,0.24928611731171701
152,1988-04-01,2514872.0,384723.0,2164.293,312.469,861.342,2946.903,2245.379,8530.385999999999,2899.595,0.2536832738392129
153,1988-07-01,2459275.0,404318.0,2195.978,309.503,876.662,3027.059,2298.445,8707.647,2863.593,0.24747503292646245
154,1988-10-01,2558076.0,388881.0,2265.205,351.879,892.989,3100.556,2369.615,8980.243999999999,2946.957,0.24707867336183906
155,1989-01-01,2669423.0,423037.0,2324.462,352.349,901.944,3141.1,2402.768,9122.623,3092.46,0.25316733418839643
156,1989-04-01,2835812.0,468111.0,2386.668,345.763,909.38,3225.251,2420.785,9287.847,3303.923,0.2623874959596625
157,1989-07-01,3056089.0,508653.0,2406.847,349.049,926.145,3305.312,2471.503,9458.856,3564.742,0.27371406887712596
158,1989-10-01,3138600.0,477010.0,2455.221,354.82,940.363,3383.95,2550.522,9684.876,3615.61,0.2718404425221755
159,1990-01-01,3005478.0,444898.0,2512.026,353.463,958.689,3449.737,2604.054,9877.969000000001,3450.376,0.25887505162869057
160,1990-04-01,3134877.0,453758.0,2551.437,363.125,969.98,3520.061,2648.428,10053.030999999999,3588.635,0.26306427675329397
161,1990-07-01,2653601.0,357095.0,2571.285,366.659,980.361,3580.998,2725.179,10224.482,3010.696,0.2274768046187214
162,1990-10-01,2955814.0,377896.0,2585.389,368.739,987.42,3644.394,2830.77,10416.712,3333.71,0.24244419553087174
163,1991-01-01,3396441.0,456032.0,2578.249,380.134,1001.003,3668.111,2875.427,10502.923999999999,3852.473,0.26836408634327563
164,1991-04-01,3354319.0,469921.0,2581.51,364.545,1018.907,3731.411,2927.929,10624.302,3824.24,0.26467999331697273
165,1991-07-01,3536308.0,511591.0,2559.824,369.099,1047.76,3771.517,3037.876,10786.076000000001,4047.899,0.27288026304480084
166,1991-10-01,3998481.0,570316.0,2526.64,375.474,1078.595,3853.2,3147.363,10981.271999999999,4568.797,0.2938120081653657
167,1992-01-01,3908353.0,593016.0,2546.954,374.425,1080.582,3872.382,3224.431,11098.774000000001,4501.369,0.2885466498608378
168,1992-04-01,3870341.0,613979.0,2550.152,387.934,1090.174,3915.316,3297.691,11241.267,4484.32,0.28516073835590366
169,1992-07-01,3966349.0,637772.0,2546.442,392.053,1103.719,3981.933,3388.752,11412.899,4604.121,0.287451785663001
170,1992-10-01,4361179.0,746524.0,2545.0,395.548,1095.095,4053.865,3491.131,11580.639,5107.703,0.3060641374679402
171,1993-01-01,4481787.0,823185.0,2589.383,403.53,1112.632,4059.933,3543.006,11708.484,5304.972,0.311810369392321
172,1993-04-01,4502439.0,829477.0,2631.538,417.516,1138.174,4126.251,3613.622,11927.100999999999,5331.916,0.30893509172625533
173,1993-07-01,4628385.0,904893.0,2658.548,445.027,1153.067,4211.174,3674.514,12142.329999999998,5533.278,0.3130459783901069
174,1993-10-01,4842338.0,910666.0,2690.672,484.808,1153.04,4303.289,3784.333,12416.142000000002,5753.004,0.3166359057272147
175,1994-01-01,4630536.0,878751.0,2766.829,457.268,1149.992,4334.775,3827.646,12536.51,5509.287,0.3052947453636988
176,1994-04-01,4541826.0,892626.0,2810.992,455.189,1137.325,4419.381,3844.798,12667.685000000001,5434.452,0.3002105221057602
177,1994-07-01,4800739.0,882993.0,2841.769,458.397,1125.325,4507.679,3896.174,12829.344000000001,5683.732,0.30701175752749027
178,1994-10-01,4796829.0,893902.0,2888.046,473.421,1107.497,4627.257,3977.825,13074.045999999998,5690.731,0.3032666468671597
179,1995-01-01,5167983.0,987881.0,2958.875,487.534,1092.793,4655.471,4034.816,13229.488999999998,6155.864,0.3175523293282305
180,1995-04-01,5594356.0,1083764.0,3025.657,502.899,1084.057,4745.66,4070.417,13428.69,6678.12,0.3321322477309926
181,1995-07-01,6024123.0,1204125.0,3045.598,526.322,1058.797,4857.362,4105.03,13593.109,7228.248,0.347155471182786
182,1995-10-01,6406754.0,1283957.0,3094.165,602.524,1046.732,4950.231,4151.993,13845.645,7690.711,0.3571036344310059
183,1996-01-01,6683652.0,1376805.0,3140.906,614.197,1042.115,5019.196,4228.065,14044.479,8060.457,0.36464511817632045
184,1996-04-01,6988156.0,1386951.0,3197.758,625.083,1043.896,5117.643,4216.407,14200.787,8375.107,0.37097565217129386
185,1996-07-01,7047824.0,1487816.0,3226.236,657.972,1024.878,5214.123,4268.812,14392.020999999999,8535.64,0.3722856858359865
186,1996-10-01,7136150.0,1931867.0,3244.366,689.142,1026.189,5313.287,4343.083,14616.067,9068.017,0.3828738742862084
187,1997-01-01,7172828.0,1973550.0,3310.522,696.993,1034.366,5353.306,4381.251,14776.437999999998,9146.378,0.3823286522790628
188,1997-04-01,8281378.0,2288189.0,3377.354,716.292,1046.893,5447.73,4321.557,14909.826000000001,10569.567,0.41482805339985923
189,1997-07-01,8956472.0,2570102.0,3455.668,746.718,1055.63,5566.763,4347.737,15172.516,11526.574,0.4317216054929213
190,1997-10-01,9055845.0,2719852.0,3521.875,763.591,1076.946,5661.212,4406.492,15430.116,11775.697,0.4328375336550317
191,1998-01-01,10355601.0,3028982.0,3637.122,788.17,1096.757,5716.262,4421.163,15659.473999999998,13384.583,0.4608372377178574
192,1998-04-01,10582784.0,3071617.0,3757.865,812.394,1120.962,5854.457,4350.424,15896.101999999999,13654.401,0.4620700026662829
193,1998-07-01,9568672.0,2522351.0,3823.962,808.552,1125.239,5969.883,4336.375,16064.011,12091.023,0.4294444467728222
194,1998-10-01,11482812.0,2912770.0,3909.803,805.954,1143.753,6116.429,4395.086,16371.024999999998,14395.582,0.46789631368840906
195,1999-01-01,11743420.0,2999047.0,4042.668,809.527,1162.785,6202.354,4392.185,16609.519,14742.467,0.4702243424068893
196,1999-04-01,12769204.0,3229268.0,4120.753,806.736,1175.256,6357.201,4294.362,16754.308,15998.472,0.4884614985353915
197,1999-07-01,12317109.0,2775918.0,4256.869,825.11,1176.73,6517.459,4290.764,17066.931999999997,15093.027,0.46931113935810687
198,1999-10-01,15036312.0,2907036.0,4312.098,776.679,1181.009,6687.927,4365.0,17322.713,17943.348,0.5087993240866906
199,2000-01-01,15922815.0,2945145.0,4442.727,796.953,1184.349,6794.132,4326.404,17544.565000000002,18867.96,0.5181722497959149
200,2000-04-01,15221012.0,2855392.0,4562.16,779.534,1191.301,6939.094,4147.231,17619.32,18076.404,0.5064025035603703
201,2000-07-01,14978622.0,3231406.0,4611.708,810.885,1185.474,7123.053,4107.482,17838.602,18210.028,0.505151735308665
202,2000-10-01,13087586.0,3269288.0,4658.173,837.115,1197.892,7258.719,4090.025,18041.924,16356.874,0.4755071383598928
203,2001-01-01,11502240.0,3006313.0,4677.498,846.659,1225.169,7314.567,4122.03,18185.923,14508.553,0.4437616005835359
204,2001-04-01,12377309.0,3241491.0,4768.672,834.084,1259.385,7517.592,3976.229,18355.962,15618.8,0.45971771634485614
205,2001-07-01,10342205.0,2921232.0,4789.378,812.2,1265.264,7771.504,4058.181,18696.527,13263.437,0.41500162515827616
206,2001-10-01,11677540.0,3157263.0,4794.505,829.453,1303.35,7901.471,4145.237,18974.016,14834.803,0.438785010502733
207,2002-01-01,11714607.0,3292405.0,4799.444,846.789,1325.391,8031.763,4183.973,19187.36,15007.012,0.4388737421468071
208,2002-04-01,10113628.0,3141723.0,4791.082,871.001,1375.525,8217.636,4213.894,19469.138,13255.351,0.40505906753807525
209,2002-07-01,8408369.0,2701041.0,4778.155,872.64,1398.907,8435.797,4314.504,19800.003,11109.41,0.3594183428847387
210,2002-10-01,8991360.0,2856276.0,4790.054,944.47,1447.9,8679.912,4427.328,20289.664,11847.636,0.3686568566743317
211,2003-01-01,8720675.0,2727642.0,4782.042,921.085,1474.767,8866.59,4517.892,20562.376,11448.317,0.35764039847559687
212,2003-04-01,10022037.0,3190718.0,4794.424,942.576,1529.588,9252.597,4585.543,21104.727999999996,13212.755,0.38501527049638234
213,2003-07-01,10403742.0,3320479.0,4814.253,912.842,1538.504,9507.93,4702.629,21476.158,13724.221,0.3898884440988547
214,2003-10-01,11540719.0,3707420.0,4810.257,1144.398,1568.435,9765.343,4848.035,22136.468,15248.139,0.4078721223416899
215,2004-01-01,11858412.0,3985061.0,4869.971,1171.981,2343.54,9956.248,4970.105,23311.844999999998,15843.473,0.40463144750861174
216,2004-04-01,12121492.0,3872608.0,4890.426,1164.328,2406.891,10267.928,5018.844,23748.417,15994.1,0.4024430561355739
217,2004-07-01,11826934.0,3933475.0,4933.356,1208.468,2440.761,10544.029,5117.264,24243.878,15760.409,0.39396800147944144
218,2004-10-01,12946710.0,4289654.0,4992.668,1265.367,2484.329,10895.997,5250.883,24889.244,17236.364,0.40916594010939855
219,2005-01-01,12902601.0,4106821.0,5036.439,1281.046,2537.812,11101.752,5403.995,25361.043999999998,17009.422,0.40144524254229347
220,2005-04-01,13112723.0,4321474.0,5119.218,1311.352,2585.77,11432.766,5356.972,25806.078,17434.197,0.40319348107753705
221,2005-07-01,13566792.0,4399330.0,5162.153,1330.567,2612.111,11791.373,5443.776,26339.979999999996,17966.122,0.40549994671162903
222,2005-10-01,13574117.0,4633709.0,5260.876,1325.682,2648.935,12087.976,5584.775,26908.244,18207.826,0.40357739492823735
223,2006-01-01,14510242.0,4756791.0,5338.191,1367.435,2654.576,12443.838,5726.756,27530.796000000002,19267.033,0.4117078379853903
224,2006-04-01,13908849.0,4785842.0,5462.294,1447.856,2693.435,12798.132,5656.53,28058.246999999996,18694.691,0.3998613092507684
225,2006-07-01,14257382.0,5062516.0,5509.962,1566.738,2712.842,13122.022,5714.828,28626.392000000003,19319.898,0.4029487578705255
226,2006-10-01,15089636.0,5414714.0,5665.824,1630.2,2765.363,13384.672,5803.923,29249.982,20504.35,0.4121118538984706
