,DATE,NCBEILQ027S,FBCELLQ027S,TCMILBSNNCB,WCMITCMFODNS,SLGTCMDODNS,TCMILBSHNO,FGTCMDODNS,bond_sum,equity_sum,equity_allocation
0,1945-10-01,103694.0,48216.0,44.653,5.52,12.635,29.442,254.385,346.635,151.91,0.30470669648677656
1,1946-10-01,97302.0,48353.0,49.889,7.823,12.683,36.067,231.306,337.76800000000003,145.655,0.3012992762032423
2,1947-10-01,95116.0,48741.0,56.78,11.904,14.313,44.913,224.898,352.808,143.857,0.2896459384091893
3,1948-10-01,94141.0,48923.0,62.811,13.116,15.717,53.423,220.012,365.079,143.064,0.2815427940560039
4,1949-10-01,103822.0,49254.0,64.394,13.469,16.618,61.273,223.629,379.383,153.076,0.2874888019547045
5,1950-10-01,126681.0,49672.0,70.439,13.614,21.21,74.845,223.234,403.342,176.353,0.30421687266579844
6,1951-10-01,147629.0,50063.0,78.868,14.213,23.586,83.447,223.506,423.62,197.692,0.3181847445405851
7,1952-01-01,151463.0,50222.0,79.768,14.445,25.787,84.061,222.201,426.262,201.685,0.3211815646861917
8,1952-04-01,157607.0,50363.0,80.77,14.656,28.324,88.204,222.032,433.986,207.97,0.32396301304139224
9,1952-07-01,156907.0,50476.0,82.528,14.722,29.675,91.189,225.653,443.76699999999994,207.383,0.3184872917146587
10,1952-10-01,146628.0,50591.0,85.098,14.765,30.795,95.595,229.829,456.082,197.219,0.30188075634355377
11,1953-01-01,143052.0,50705.0,86.504,14.93,32.134,97.869,226.911,458.34799999999996,193.757,0.2971254629239156
12,1953-04-01,133816.0,50807.0,87.354,15.156,33.218,102.319,226.926,464.973,184.623,0.28421203332532835
13,1953-07-01,129274.0,50921.0,88.338,15.597,34.637,104.806,233.608,476.986,180.195,0.27419386744291147
14,1953-10-01,144082.0,50992.0,89.252,15.887,35.786,108.158,237.379,486.462,195.074,0.28622699314489625
15,1954-01-01,156255.0,51146.0,90.165,16.028,37.186,107.988,233.493,484.86,207.401,0.29959942853923593
16,1954-04-01,172550.0,51314.0,90.151,15.881,38.343,111.763,232.735,488.87300000000005,223.864,0.31409061126334115
17,1954-07-01,191985.0,51552.0,91.166,15.788,39.829,115.171,234.566,496.52,243.537,0.3290787060996653
18,1954-10-01,194840.0,51649.0,92.843,15.986,41.102,120.453,240.195,510.579,246.489,0.3255836992185643
19,1955-01-01,202122.0,51628.0,93.72,15.876,42.602,123.626,236.08,511.904,253.75,0.331416018201433
20,1955-04-01,225533.0,51869.0,95.386,15.93,43.705,130.685,234.433,520.139,277.402,0.34782161669431416
21,1955-07-01,240995.0,52052.0,96.873,15.935,45.109,135.989,236.252,530.158,293.047,0.3559830175958601
22,1955-10-01,244222.0,52012.0,101.216,15.97,46.148,141.563,240.077,544.9739999999999,296.234,0.3521530941217868
23,1956-01-01,262345.0,52241.0,103.603,16.134,47.39,143.247,235.799,546.173,314.586,0.36547512137543725
24,1956-04-01,252704.0,52394.0,105.982,16.376,48.313,148.421,230.35,549.442,305.098,0.3570318533948089
25,1956-07-01,246833.0,52524.0,107.756,16.462,49.533,151.718,231.549,557.018,299.357,0.3495629835060575
26,1956-10-01,268373.0,52620.0,110.961,16.696,50.381,156.401,235.039,569.4780000000001,320.993,0.3604755236273837
27,1957-01-01,254023.0,52767.0,113.545,17.019,51.501,157.484,233.391,572.9399999999999,306.79,0.34873199731735877
28,1957-04-01,273076.0,52954.0,116.337,17.184,52.414,162.474,227.347,575.756,326.03,0.36153810327505637
29,1957-07-01,245392.0,53190.0,117.824,17.32,53.836,165.542,231.343,585.865,298.582,0.3375917381143245
30,1957-10-01,245747.0,53395.0,120.632,17.978,55.039,168.575,233.24,595.4639999999999,299.142,0.3343840752241769
31,1958-01-01,261319.0,53612.0,122.358,18.416,56.55,167.641,232.414,597.379,314.931,0.34520174063640646
32,1958-04-01,278565.0,53829.0,123.271,18.863,57.73,171.149,234.972,605.985,332.394,0.3542214819385344
33,1958-07-01,310541.0,54089.0,124.277,19.291,59.33,174.659,235.84,613.397,364.63,0.37282201820604133
34,1958-10-01,324670.0,54286.0,127.965,19.848,60.669,180.371,243.374,632.227,378.956,0.37476500297176674
35,1959-01-01,332012.0,54528.0,128.85,19.962,62.272,182.567,243.058,636.709,386.54,0.37775751552163744
36,1959-04-01,346451.0,54738.0,131.925,20.314,63.593,189.505,243.702,649.039,401.189,0.38200181293966645
37,1959-07-01,339875.0,54920.0,132.897,20.625,65.575,195.611,247.998,662.7059999999999,394.795,0.3733282521718656
38,1959-10-01,362157.0,54974.0,136.645,20.684,66.696,202.315,251.18,677.52,417.131,0.38106300546932315
39,1960-01-01,339310.0,54977.0,138.74,21.062,68.321,203.148,247.528,678.799,394.287,0.3674328059447239
40,1960-04-01,347588.0,55414.0,141.401,21.481,69.524,209.907,245.933,688.246,403.002,0.36930376962890193
41,1960-07-01,321285.0,55330.0,141.921,21.822,71.174,214.461,247.439,696.817,376.615,0.3508512882045626
42,1960-10-01,365166.0,55908.0,145.592,22.42,72.211,219.861,250.072,710.156,421.074,0.3722266913006197
43,1961-01-01,410353.0,56180.0,145.527,23.016,73.71,220.584,248.141,710.978,466.533,0.3962026681704035
44,1961-04-01,411555.0,56081.0,147.691,22.961,74.653,226.654,249.032,720.991,467.636,0.3934253554731636
45,1961-07-01,423621.0,56070.0,148.366,23.633,76.459,230.869,254.269,733.596,479.691,0.3953648229973617
46,1961-10-01,437674.0,78518.0,152.987,24.413,77.815,237.901,258.176,751.2919999999999,516.192,0.4072572119253577
47,1962-01-01,427931.0,77641.0,153.763,25.165,79.588,239.141,258.932,756.5889999999999,505.572,0.40056062578387386
48,1962-04-01,326582.0,59789.0,157.22,25.63,80.915,246.172,259.637,769.5740000000001,386.371,0.33424687160721306
49,1962-07-01,345363.0,63125.0,158.722,25.578,82.316,252.328,260.143,779.087,408.488,0.34396817043134115
