,date,open,high,low,close,adjclose,volume
0,2002-07-30,81.75,81.9000015258789,81.5199966430664,81.5199966430664,38.691688537597656,6100
1,2002-07-31,81.94999694824219,82.80000305175781,81.9000015258789,82.52999877929688,39.171085357666016,29400
2,2002-08-01,82.54000091552734,83.0199966430664,82.54000091552734,83.0,39.394142150878906,25000
3,2002-08-02,83.16000366210938,84.0999984741211,82.87999725341797,83.8499984741211,39.79756546020508,52800
4,2002-08-05,84.04000091552734,84.44000244140625,83.8499984741211,84.22000122070312,39.9731559753418,61100
5,2002-08-06,83.87000274658203,83.9000015258789,83.22000122070312,83.5,39.63145446777344,64900
6,2002-08-07,83.5999984741211,84.13999938964844,83.36000061035156,83.69999694824219,39.72636413574219,40300
7,2002-08-08,83.58000183105469,83.7699966430664,83.36000061035156,83.69999694824219,39.72636413574219,40900
8,2002-08-09,84.0,84.87999725341797,84.0,84.87999725341797,40.286415100097656,35900
9,2002-08-12,85.30000305175781,86.69999694824219,85.13999938964844,85.4000015258789,40.53321075439453,32100
10,2002-08-13,85.77999877929688,86.47000122070312,85.37000274658203,86.44999694824219,41.0316162109375,75400
11,2002-08-14,87.45999908447266,87.9000015258789,86.75,86.77999877929688,41.18819808959961,130000
12,2002-08-15,86.37999725341797,86.5,85.8499984741211,86.0199966430664,40.827484130859375,87100
13,2002-08-16,86.44000244140625,86.5199966430664,84.81999969482422,85.05999755859375,40.37186813354492,85000
14,2002-08-19,85.05000305175781,85.33999633789062,84.70999908447266,85.31999969482422,40.4952392578125,47300
15,2002-08-20,85.62000274658203,86.29000091552734,85.5999984741211,86.2699966430664,40.946136474609375,40800
16,2002-08-21,85.68000030517578,86.0999984741211,85.62999725341797,85.80999755859375,40.72782897949219,40000
17,2002-08-22,85.55000305175781,85.55000305175781,85.05999755859375,85.05999755859375,40.37186813354492,34400
18,2002-08-23,85.19999694824219,85.94999694824219,85.19999694824219,85.9000015258789,40.77055740356445,20100
19,2002-08-26,85.69999694824219,86.20999908447266,85.66999816894531,85.9800033569336,40.80852127075195,23900
20,2002-08-27,85.4000015258789,85.68000030517578,85.19999694824219,85.44000244140625,40.55223083496094,301800
21,2002-08-28,86.04000091552734,86.18000030517578,85.83999633789062,85.87000274658203,40.756263732910156,18100
22,2002-08-29,86.76000213623047,86.86000061035156,86.3499984741211,86.55999755859375,41.083805084228516,135700
23,2002-08-30,86.75,87.12999725341797,86.44999694824219,87.08000183105469,41.33062744140625,78100
24,2002-09-03,87.08000183105469,88.04000091552734,87.0,88.04000091552734,41.96601486206055,102100
25,2002-09-04,88.02999877929688,88.30000305175781,87.83999633789062,88.0199966430664,41.95647048950195,66300
26,2002-09-05,88.56999969482422,88.6500015258789,87.37999725341797,88.5,42.18528366088867,648400
27,2002-09-06,87.97000122070312,88.19000244140625,87.19999694824219,87.45999908447266,41.68952560424805,140000
28,2002-09-09,87.5,87.83000183105469,87.26000213623047,87.33000183105469,41.62758255004883,83800
29,2002-09-10,87.16999816894531,88.0,87.0,87.75,41.827781677246094,336000
30,2002-09-11,87.0,87.30000305175781,86.75,87.29000091552734,41.608524322509766,177700
31,2002-09-12,87.4800033569336,88.13999938964844,87.47000122070312,87.97000122070312,41.93265151977539,43400
32,2002-09-13,88.33000183105469,88.94000244140625,88.18000030517578,88.77999877929688,42.31875991821289,155100
33,2002-09-16,89.19999694824219,89.22000122070312,88.9000015258789,88.93000030517578,42.390220642089844,73000
34,2002-09-17,88.63999938964844,89.31999969482422,88.36000061035156,89.0999984741211,42.471309661865234,75400
35,2002-09-18,89.16000366210938,89.55999755859375,89.0199966430664,89.12000274658203,42.48078918457031,196600
36,2002-09-19,89.69999694824219,89.7699966430664,89.26000213623047,89.72000122070312,42.76682662963867,109900
37,2002-09-20,89.44999694824219,89.5199966430664,89.05999755859375,89.30000305175781,42.56660842895508,113500
38,2002-09-23,90.0,90.23999786376953,89.7699966430664,90.0999984741211,42.94797134399414,163200
39,2002-09-24,90.30000305175781,90.94000244140625,90.20999908447266,90.68000030517578,43.224422454833984,251900
40,2002-09-25,90.0999984741211,90.36000061035156,89.26000213623047,89.58000183105469,42.70011520385742,127200
41,2002-09-26,89.05000305175781,89.52999877929688,88.61000061035156,89.37000274658203,42.59999465942383,429000
42,2002-09-27,89.52999877929688,90.04000091552734,89.4800033569336,90.04000091552734,42.91935348510742,298200
43,2002-09-30,90.66000366210938,90.9000015258789,90.08000183105469,90.4000015258789,43.09095001220703,297800
44,2002-10-01,89.16000366210938,89.30000305175781,88.80000305175781,88.94000244140625,42.55646514892578,257500
45,2002-10-02,89.23999786376953,89.4800033569336,88.83999633789062,89.44999694824219,42.80050277709961,91000
46,2002-10-03,89.30000305175781,89.51000213623047,88.80000305175781,89.2300033569336,42.69521713256836,29900
47,2002-10-04,88.4000015258789,89.72000122070312,88.4000015258789,89.51000213623047,42.8292350769043,131000
48,2002-10-07,89.9000015258789,89.95999908447266,89.45999908447266,89.66000366210938,42.90097427368164,433800
49,2002-10-08,89.5,90.5199966430664,89.36000061035156,89.69000244140625,42.91535568237305,530900
50,2002-10-09,90.30000305175781,90.37999725341797,89.94999694824219,90.1500015258789,43.135440826416016,402900
51,2002-10-10,90.16999816894531,90.16999816894531,89.27999877929688,89.44000244140625,42.795719146728516,97100
52,2002-10-11,89.0999984741211,89.22000122070312,88.05999755859375,88.37999725341797,42.28852462768555,421800
