,date,open,high,low,close,adjclose,volume,ticker,returns1,volatility1,returns5,volatility5,returns15,volatility15,returns30,volatility30,ma2,ma3,ma4,ma5,ma6,ma7,ma8,ma9,ma10,ma11,ma12,ma13,ma14,ma15,ma16,ma17,ma18,ma19,ma20,ma21,ma22,ma23,ma24,ma25,ma26,ma27,ma28,ma29,rsi14,labels,labels_shifted,score,sentiment_score,capital_letter_ratio,profanity_count,emoji_count,capital_letter_count,post_length
0,2021-01-29,36.61000061035156,38.0099983215332,34.65999984741211,35.18000030517578,35.18000030517578,42030900,PLTR,-0.0134604471197484,0.0360902912168936,-0.0134604471197484,0.1123707511816674,-0.0134604471197484,0.0757234087652274,-0.0134604471197484,0.0658745018528301,35.420000076293945,36.61333338419596,36.30249977111816,36.2879997253418,35.670000076293945,34.285714285714285,33.292500019073486,32.55111122131348,31.86000003814697,31.22909095070579,30.75166670481364,30.40000005868765,30.08071436200823,29.755333455403647,29.45812511444092,29.110000161563647,28.859444618225098,28.570526524593955,28.319500160217284,28.16619064694359,28.00681833787398,27.90347837365192,27.897083441416424,27.92880012512207,27.9330770785992,27.95444460268374,27.883571556636262,27.861034590622477,71.56438669023623,0.0,0.0,22.5,0.360725,0.05371552533198212,6.0,341.0,153.0,4487.0
1,2021-02-01,35.33000183105469,35.619998931884766,32.58000183105469,33.959999084472656,33.959999084472656,43460900,PLTR,-0.0346788291677084,0.01060919102398,-0.0346788291677084,0.0728255205948537,-0.0346788291677084,0.0766239878785949,-0.0346788291677084,0.0659771323128763,34.56999969482422,34.93333307902018,35.94999980926514,35.83399963378906,35.89999961853027,35.42571422031948,34.24499988555908,33.366666581895615,32.6920000076294,32.0509090423584,31.45666662851969,30.998461503248947,30.65428570338658,30.33933334350586,30.01812505722046,29.722941230325137,29.379444546169704,29.12789485329076,28.84000015258789,28.58809534708659,28.429545575922187,28.26565228337827,28.15583340326945,28.139600067138677,28.160769315866325,28.156296412150063,28.168928691319056,28.09310354035476,66.99110689803024,0.0,0.0,68.42857142857143,0.3240571428571428,0.061484349903462035,21.0,4.0,1311.0,27836.0
2,2021-02-02,34.099998474121094,34.20000076293945,30.5,31.020000457763672,31.020000457763672,69647900,PLTR,-0.0865724000579618,0.0259467854451266,-0.0865724000579618,0.0632113327520693,-0.0865724000579618,0.0809987597222442,-0.0865724000579618,0.0679857295050549,32.489999771118164,33.38666661580404,33.954999923706055,34.96399993896485,35.03166643778483,35.2028568812779,34.875,33.88666661580404,33.13199996948242,32.540000048550695,31.96499999364217,31.423076923076923,31.0,30.67866668701172,30.381875038146973,30.07705890431124,29.795000076293945,29.465789594148333,29.222500133514405,28.943809690929594,28.698636488481,28.54217404904573,28.38041679064433,28.270400085449214,28.250384697547325,28.266666765566224,28.258571556636262,28.26724151085163,59.19452793924777,0.0,1.0,909.4285714285714,0.6001714285714286,0.04618638820098405,35.0,36.0,1656.0,35176.0
3,2021-02-03,32.38999938964844,32.95000076293945,31.3799991607666,31.76000022888184,31.76000022888184,35312000,PLTR,0.0238555693165039,0.0552139846872328,0.0238555693165039,0.0656332272860659,0.0238555693165039,0.0809573966742032,0.0238555693165039,0.0676092283183619,31.390000343322757,32.24666659037272,32.980000019073486,33.515999984741214,34.42999998728434,34.56428555079869,34.772499799728394,34.528888914320206,33.67399997711182,33.007272720336914,32.475000063578285,31.9492307809683,31.44714287349156,31.050666681925456,30.7462500333786,30.46294122583726,30.17055564456516,29.898421136956465,29.58050012588501,29.343333471389045,29.071818351745605,28.831739259802777,28.676250139872234,28.51560012817383,28.40461547558124,28.38037045796712,28.391428674970356,28.37931047636887,61.86504837528693,1.0,1.0,83.8,0.18841999999999998,0.04144795154314042,11.0,25.0,672.0,19096.0
4,2021-02-04,32.58000183105469,33.18000030517578,31.049999237060547,32.04999923706055,32.04999923706055,31565000,PLTR,0.009130951073325,0.0073623091215894,0.009130951073325,0.0428454958739409,0.009130951073325,0.0809599057352204,0.009130951073325,0.0669029688321484,31.90499973297119,31.609999974568684,32.19749975204468,32.7939998626709,33.271666526794434,34.08999988010952,34.24999976158142,34.46999973720975,34.280999946594235,33.52636354619806,32.92749993006388,32.44230769230769,31.95642852783203,31.48733329772949,31.1131249666214,30.822941163006952,30.551111115349663,30.269473728380703,30.00600004196167,29.698095321655277,29.46636373346502,29.20130447719408,28.96583342552185,28.811200103759766,28.6515385554387,28.539629688969367,28.511428628649032,28.517586280559676,63.66423648489345,1.0,1.0,246.625,0.64815,0.0363831977946771,35.0,23.0,703.0,18749.0
5,2021-02-05,32.61000061035156,35.20000076293945,31.75,34.04999923706055,34.04999923706055,62375300,PLTR,0.0624024975853143,0.0266357732559946,0.0624024975853143,0.0468462156609048,0.0624024975853143,0.080940420576743,0.0624024975853143,0.0656663681375077,33.04999923706055,32.61999956766764,32.21999979019165,32.56799964904785,33.00333309173584,33.38285691397531,34.084999799728394,34.2277774810791,34.42799968719483,34.25999988209117,33.569999853769936,33.01384603060209,32.557142802647185,32.09599990844727,31.647499918937683,31.285882276647232,31.00222216712104,30.735263121755494,30.4585000038147,30.198571432204474,29.895909135991875,29.665652233621348,29.40333342552185,29.1692000579834,29.01269237811749,28.85148154364692,28.736428601401197,28.70241382204253,65.36353489855304,1.0,1.0,32.0,0.4939,0.043103448275862,1.0,0.0,10.0,232.0
6,2021-02-08,37.220001220703125,39.220001220703125,35.88999938964844,36.04999923706055,36.04999923706055,72376000,PLTR,0.0587371525642552,0.0018326725105295,0.0587371525642552,0.0524624658435837,0.0587371525642552,0.0805739183989026,0.0587371525642552,0.066113958768361,35.04999923706055,34.04999923706055,33.47749948501587,32.98599967956543,33.14833291371664,33.43857111249651,33.71624970436096,34.30333307054308,34.40999965667724,34.57545419172807,34.40916649500529,33.76076903709998,33.23071411677769,32.789999898274736,32.3431248664856,31.90647046706256,31.55055544111464,31.26789464448628,31.000999927520752,30.724761872064494,30.464545423334297,30.16347827082095,29.93166669209798,29.6692000579834,29.4338461802556,29.27333337289316,29.108571461268838,28.988620692286,66.60795696903438,1.0,1.0,67.8,0.20516,0.04006072308303684,14.0,0.0,263.0,8169.0
7,2021-02-09,36.900001525878906,38.255001068115234,36.130001068115234,38.16999816894531,38.16999816894531,44243200,PLTR,0.0588071838211119,3.50156284283365e-05,0.0588071838211119,0.0521032161140277,0.0588071838211119,0.0809572896115249,0.0588071838211119,0.0666374345980705,37.10999870300293,36.08999888102213,35.07999897003174,34.415999221801755,33.84999942779541,33.86571366446359,34.02999949455261,34.21111064487033,34.6899995803833,34.75181770324707,34.87499952316284,34.698461239154526,34.07571397508894,33.55999972025553,33.12624979019165,32.68588211957146,32.25444422827827,31.89894716363204,31.612999820709227,31.34238079616002,31.0631817037409,30.79956510792608,30.49708326657613,30.261199951171875,29.996153831481934,29.757407365021884,29.591071401323592,29.421034451188717,69.56665265546721,1.0,0.0,572.0,0.5338,0.07049184946589107,9.0,1.0,2433.0,20565.0
8,2021-02-10,38.150001525878906,38.2400016784668,35.0,35.70000076293945,35.70000076293945,45177200,PLTR,-0.0647104407779464,0.0617588122995291,-0.0647104407779464,0.044685272083991,-0.0647104407779464,0.0839419326479889,-0.0647104407779464,0.0675521796769838,36.93499946594238,36.63999938964844,35.992499351501465,35.20399932861328,34.62999947865804,34.11428533281599,34.09499955177307,34.21555519104004,34.359999656677246,34.781817869706586,34.83083295822144,34.93846115699181,34.76999977656773,34.18399976094564,33.69374978542328,33.27764690623564,32.853333155314125,32.43578930904991,32.08899984359741,31.807618913196382,31.54045443101363,31.264782532401707,31.003749926884968,30.705199966430666,30.47038459777832,30.207407421535915,29.969642843518937,29.80172413793104,65.02783290255795,0.0,0.0,400.0,0.9211,0.0423976608187134,3.0,0.0,116.0,2736.0
9,2021-02-11,35.790000915527344,35.97999954223633,32.61000061035156,33.11000061035156,33.11000061035156,52094900,PLTR,-0.0725490223315792,0.0039192907768164,-0.0725490223315792,0.0575746799648196,-0.0725490223315792,0.0867307526698997,-0.0725490223315792,0.0673961300181383,34.40500068664551,35.65999984741211,35.75749969482422,35.41599960327149,34.85499954223633,34.41285678318569,33.988749742507935,33.985555224948456,34.104999732971194,34.24636337973855,34.64249976476034,34.698461239154526,34.80785683223179,34.65933316548665,34.11687481403351,33.65941159865435,33.268333223130966,32.86684196873715,32.46949987411499,32.13761892772856,31.86681808124889,31.60869556924571,31.341666618982952,31.087999954223637,30.79769229888916,30.56814815379955,30.311071463993617,30.07793104237524,50.9354022022105,0.0,0.0,1755.0,0.6263,0.0346311514308962,2.0,0.0,243.0,7080.0
